rank,lane,ticker,trade legs,expiry,next-session swing entry target,current Schwab mid/natural reference,profit target,max loss,reward/risk,suggested size,swing hold window,stop/invalidation,gap-risk plan +/-1% open,EOD trend evidence,flow/OI evidence,regime fit,catalyst/earnings risk,target price methodology,OCO bracket order logic,blocker before entry,manual review instruction,why this is worth reviewing tomorrow,display status,final disposition,setup family,setup family key,safety calibration flags,expected win rate,win-rate basis,confidence evidence,per-ticket replay edge,payoff evidence,confidence rating,expected average win,expected average loss,expected value,implied profit factor
25,Swing Target / Work Limit,GOOG,Bear Call Credit Spread: sell GOOG 2026-09-18 360C / buy GOOG 2026-09-18 365C,2026-09-18,>= $1.25 credit,1.38 / 1.10,$62.50,$375.00,0.17,1 contract review; size only after fresh target fill and risk-cap check,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $2.50 or short strike is threatened,"Gap -1%: bearish thesis improves, but do not chase; enter only if >= $1.25 credit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Call; flow=directional; edge=unavailable; score=3.7; confirm=6.2,"top-flow rank 25; net premium $-32,325,948; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction","income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 85 days; Structured earnings/event date is known and outside 7 days (2026-11-04). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 24.8% of $5 width; entry target >= $1.25 credit; expected-move support ratio 0.55; quote width 6.3%; prior outcome sample n=0; flow/OI quality directional/supportive,"If this converts to Execute, attach OCO: entry Bear Call Credit Spread: sell GOOG 2026-09-18 360C / buy GOOG 2026-09-18 365C at >= $1.25 credit; if filled at the minimum $1.25 credit, set OCO take-profit BUY TO CLOSE near $0.62 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.","natural credit $1.10 is below expectancy-safe minimum $1.25; work the limit, do not accept less","NOT AN ORDER - target only; fresh Schwab quote, news, OI/flow, and re-score required before entry.","top-flow rank 25; net premium $-32,325,948; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction; historical edge=unavailable; probationary final-structure EV=$51.79, PF=2.28; thin_replay_sample:n=0;final_quality_guard;decision_final_quality_guard;price_action_trend;credit_ev_not_supported:unavailable; V4 Approved Work Limit: every non-price execution gate cleared, but the current Schwab reference does not meet the validated entry limit. natural credit $1.10 is below ex",🔵 APPROVED / Work Limit,Swing Target / Work Limit,Credit spreads,GOOG :: bear call credit spread :: 2026-09-18,,76%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PASS, family n=32, family PF=2.28, family holdout n=12, family holdout PF=1.45; one contract; High confidence unavailable",🟡 MEDIUM · 76% floor,$121.52,$-166.97,$51.65,2.28
26,Swing Target / Work Limit,TSLA,Bear Call Credit Spread: sell TSLA 2026-09-18 350C / buy TSLA 2026-09-18 355C,2026-09-18,>= $1.40 credit,1.22 / 1.10,$70.00,$360.00,0.19,1 contract review; size only after fresh target fill and risk-cap check,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $2.80 or short strike is threatened,"Gap -1%: bearish thesis improves, but do not chase; enter only if >= $1.40 credit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Call; flow=directional; edge=unavailable; score=3.6; confirm=6.2,"top-flow rank 2; net premium $-17,620,276; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction","income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 78 days; Structured earnings/event date is known and outside 7 days (2026-10-28). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 22.0% of $5 width; entry target >= $1.40 credit; expected-move support ratio 0.56; quote width 1.9%; prior outcome sample n=0; flow/OI quality directional/supportive,"If this converts to Execute, attach OCO: entry Bear Call Credit Spread: sell TSLA 2026-09-18 350C / buy TSLA 2026-09-18 355C at >= $1.40 credit; if filled at the minimum $1.40 credit, set OCO take-profit BUY TO CLOSE near $0.70 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.","natural credit $1.10 is below expectancy-safe minimum $1.40; work the limit, do not accept less","NOT AN ORDER - target only; fresh Schwab quote, news, OI/flow, and re-score required before entry.","top-flow rank 2; net premium $-17,620,276; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction; historical edge=unavailable; probationary final-structure EV=$53.72, PF=2.28; fallback income blocked: secondary_income_thin_sample:n=0; acceptable_secondary_income cannot override weak/negative evidence; V4 Approved Work Limit: every non-price execution gate cleared, but the current Schwab reference does not meet the validated entry limit. natural credit $1.10 is below expe",🔵 APPROVED / Work Limit,Swing Target / Work Limit,Credit spreads,TSLA :: bear call credit spread :: 2026-09-18,,76%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PASS, family n=32, family PF=2.28, family holdout n=12, family holdout PF=1.45; one contract; High confidence unavailable",🟡 MEDIUM · 76% floor,$116.66,$-160.29,$49.58,2.28
27,Swing Target / Work Limit,AAPL,Bear Call Credit Spread: sell AAPL 2026-09-18 315C / buy AAPL 2026-09-18 320C,2026-09-18,>= $1.25 credit,1.19 / 1.05,$62.50,$375.00,0.17,1 contract review; size only after fresh target fill and risk-cap check,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $2.50 or short strike is threatened,"Gap -1%: bearish thesis improves, but do not chase; enter only if >= $1.25 credit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Call; flow=directional; edge=unavailable; score=3.6; confirm=6.2,"top-flow rank 8; net premium $-29,311,195; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction","income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 79 days; Structured earnings/event date is known and outside 7 days (2026-10-29). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 21.5% of $5 width; entry target >= $1.25 credit; expected-move support ratio 0.60; quote width 4.6%; prior outcome sample n=0; flow/OI quality directional/supportive,"If this converts to Execute, attach OCO: entry Bear Call Credit Spread: sell AAPL 2026-09-18 315C / buy AAPL 2026-09-18 320C at >= $1.25 credit; if filled at the minimum $1.25 credit, set OCO take-profit BUY TO CLOSE near $0.62 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.","natural credit $1.05 is below expectancy-safe minimum $1.25; work the limit, do not accept less","NOT AN ORDER - target only; fresh Schwab quote, news, OI/flow, and re-score required before entry.","top-flow rank 8; net premium $-29,311,195; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction; historical edge=unavailable; probationary final-structure EV=$53.99, PF=2.28; thin_replay_sample:n=0;final_quality_guard;decision_final_quality_guard;price_action_trend;credit_ev_not_supported:unavailable; V4 Approved Work Limit: every non-price execution gate cleared, but the current Schwab reference does not meet the validated entry limit. natural credit $1.05 is below exp",🔵 APPROVED / Work Limit,Swing Target / Work Limit,Credit spreads,AAPL :: bear call credit spread :: 2026-09-18,,76%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PASS, family n=32, family PF=2.28, family holdout n=12, family holdout PF=1.45; one contract; High confidence unavailable",🟡 MEDIUM · 76% floor,$121.52,$-166.97,$51.65,2.28
28,Swing Target / Work Limit,SPCX,Bear Call Credit Spread: sell SPCX 2026-09-18 170C / buy SPCX 2026-09-18 175C,2026-09-18,>= $1.40 credit,0.98 / 0.85,$70.00,$360.00,0.19,1 contract review; size only after fresh target fill and risk-cap check,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $2.80 or short strike is threatened,"Gap -1%: bearish thesis improves, but do not chase; enter only if >= $1.40 credit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Call; flow=directional; edge=unavailable; score=4.0; confirm=6.2,"top-flow rank 17; net premium $-5,922,587; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction","income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 84 days; Structured earnings/event date is known and outside 7 days (2026-11-03). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 17.6% of $5 width; entry target >= $1.40 credit; expected-move support ratio 0.71; quote width 2.5%; prior outcome sample n=0; flow/OI quality directional/supportive,"If this converts to Execute, attach OCO: entry Bear Call Credit Spread: sell SPCX 2026-09-18 170C / buy SPCX 2026-09-18 175C at >= $1.40 credit; if filled at the minimum $1.40 credit, set OCO take-profit BUY TO CLOSE near $0.70 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.","natural credit $0.85 is below expectancy-safe minimum $1.40; work the limit, do not accept less","NOT AN ORDER - target only; fresh Schwab quote, news, OI/flow, and re-score required before entry.","top-flow rank 17; net premium $-5,922,587; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction; historical edge=unavailable; probationary final-structure EV=$56.75, PF=2.28; fallback income blocked: secondary_income_thin_sample:n=0; acceptable_secondary_income cannot override weak/negative evidence; V4 Approved Work Limit: every non-price execution gate cleared, but the current Schwab reference does not meet the validated entry limit. natural credit $0.85 is below expe",🔵 APPROVED / Work Limit,Swing Target / Work Limit,Credit spreads,SPCX :: bear call credit spread :: 2026-09-18,,76%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PASS, family n=32, family PF=2.28, family holdout n=12, family holdout PF=1.45; one contract; High confidence unavailable",🟡 MEDIUM · 76% floor,$116.66,$-160.29,$49.58,2.28
29,Swing Target / Work Limit,APP,Bear Call Credit Spread: sell APP 2026-09-18 340C / buy APP 2026-09-18 350C,2026-09-18,>= $2.50 credit,2.30 / 1.80,$125.00,$750.00,0.17,1 contract review; size only after fresh target fill and risk-cap check,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $5.00 or short strike is threatened,"Gap -1%: bearish thesis improves, but do not chase; enter only if >= $2.50 credit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Call; flow=directional; edge=unavailable; score=2.4; confirm=6.2,"top-flow rank 19; net premium $-5,912,143; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction","income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 85 days; Structured earnings/event date is known and outside 7 days (2026-11-04). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 20.7% of $10 width; entry target >= $2.50 credit; expected-move support ratio 0.65; quote width 6.9%; prior outcome sample n=0; flow/OI quality directional/supportive,"If this converts to Execute, attach OCO: entry Bear Call Credit Spread: sell APP 2026-09-18 340C / buy APP 2026-09-18 350C at >= $2.50 credit; if filled at the minimum $2.50 credit, set OCO take-profit BUY TO CLOSE near $1.25 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.","natural credit $1.80 is below expectancy-safe minimum $2.50; work the limit, do not accept less","NOT AN ORDER - target only; fresh Schwab quote, news, OI/flow, and re-score required before entry.","top-flow rank 19; net premium $-5,912,143; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction; historical edge=unavailable; probationary final-structure EV=$109.22, PF=2.28; thin_replay_sample:n=0;final_quality_guard;decision_final_quality_guard;price_action_trend;credit_ev_not_supported:unavailable; V4 Approved Work Limit: every non-price execution gate cleared, but the current Schwab reference does not meet the validated entry limit. natural credit $1.80 is below ex",🔵 APPROVED / Work Limit,Swing Target / Work Limit,Credit spreads,APP :: bear call credit spread :: 2026-09-18,,76%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PASS, family n=32, family PF=2.28, family holdout n=12, family holdout PF=1.45; one contract; High confidence unavailable",🟡 MEDIUM · 76% floor,$243.03,$-333.94,$103.30,2.28
30,Swing Target / Work Limit,TSLA,Bear Call Credit Spread: sell TSLA 2026-09-18 350C / buy TSLA 2026-09-18 355C,2026-09-18,>= $1.25 credit,1.22 / 1.10,$62.50,$375.00,0.17,1 contract review; size only after fresh target fill and risk-cap check,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $2.50 or short strike is threatened,"Gap -1%: bearish thesis improves, but do not chase; enter only if >= $1.25 credit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Call; flow=directional; edge=unavailable; score=3.2; confirm=6.2,"top-flow rank 2; net premium $-17,620,276; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction","income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 78 days; Structured earnings/event date is known and outside 7 days (2026-10-28). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 22.0% of $5 width; entry target >= $1.25 credit; expected-move support ratio 0.56; quote width 1.9%; prior outcome sample n=0; flow/OI quality directional/supportive,"If this converts to Execute, attach OCO: entry Bear Call Credit Spread: sell TSLA 2026-09-18 350C / buy TSLA 2026-09-18 355C at >= $1.25 credit; if filled at the minimum $1.25 credit, set OCO take-profit BUY TO CLOSE near $0.62 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.","natural credit $1.10 is below expectancy-safe minimum $1.25; work the limit, do not accept less","NOT AN ORDER - target only; fresh Schwab quote, news, OI/flow, and re-score required before entry.","top-flow rank 2; net premium $-17,620,276; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction; historical edge=unavailable; probationary final-structure EV=$53.72, PF=2.28; thin_replay_sample:n=0;final_quality_guard;decision_final_quality_guard;price_action_trend;credit_ev_not_supported:unavailable; V4 Approved Work Limit: every non-price execution gate cleared, but the current Schwab reference does not meet the validated entry limit. natural credit $1.10 is below exp",🔵 APPROVED / Work Limit,Swing Target / Work Limit,Credit spreads,TSLA :: bear call credit spread :: 2026-09-18,,76%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PASS, family n=32, family PF=2.28, family holdout n=12, family holdout PF=1.45; one contract; High confidence unavailable",🟡 MEDIUM · 76% floor,$121.52,$-166.97,$51.65,2.28
31,Swing Target / Work Limit,SPCX,Bear Call Credit Spread: sell SPCX 2026-09-18 170C / buy SPCX 2026-09-18 175C,2026-09-18,>= $1.25 credit,0.98 / 0.85,$62.50,$375.00,0.17,1 contract review; size only after fresh target fill and risk-cap check,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $2.50 or short strike is threatened,"Gap -1%: bearish thesis improves, but do not chase; enter only if >= $1.25 credit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Call; flow=directional; edge=unavailable; score=3.5; confirm=6.2,"top-flow rank 17; net premium $-5,922,587; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction","income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 84 days; Structured earnings/event date is known and outside 7 days (2026-11-03). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 17.6% of $5 width; entry target >= $1.25 credit; expected-move support ratio 0.71; quote width 2.5%; prior outcome sample n=0; flow/OI quality directional/supportive,"If this converts to Execute, attach OCO: entry Bear Call Credit Spread: sell SPCX 2026-09-18 170C / buy SPCX 2026-09-18 175C at >= $1.25 credit; if filled at the minimum $1.25 credit, set OCO take-profit BUY TO CLOSE near $0.62 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.","natural credit $0.85 is below expectancy-safe minimum $1.25; work the limit, do not accept less","NOT AN ORDER - target only; fresh Schwab quote, news, OI/flow, and re-score required before entry.","top-flow rank 17; net premium $-5,922,587; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction; historical edge=unavailable; probationary final-structure EV=$56.75, PF=2.28; thin_replay_sample:n=0;final_quality_guard;decision_final_quality_guard;price_action_trend;credit_ev_not_supported:unavailable; V4 Approved Work Limit: every non-price execution gate cleared, but the current Schwab reference does not meet the validated entry limit. natural credit $0.85 is below exp",🔵 APPROVED / Work Limit,Swing Target / Work Limit,Credit spreads,SPCX :: bear call credit spread :: 2026-09-18,,76%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PASS, family n=32, family PF=2.28, family holdout n=12, family holdout PF=1.45; one contract; High confidence unavailable",🟡 MEDIUM · 76% floor,$121.52,$-166.97,$51.65,2.28
32,Swing Target / Work Limit,GOOG,Bear Call Credit Spread: sell GOOG 2026-09-18 365C / buy GOOG 2026-09-18 370C,2026-09-18,>= $1.25 credit,1.02 / 0.85,$62.50,$375.00,0.17,1 contract review; size only after fresh target fill and risk-cap check,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $2.50 or short strike is threatened,"Gap -1%: bearish thesis improves, but do not chase; enter only if >= $1.25 credit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Call; flow=directional; edge=unavailable; score=3.4; confirm=6.2,"top-flow rank 25; net premium $-32,325,948; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction","income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 85 days; Structured earnings/event date is known and outside 7 days (2026-11-04). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 18.4% of $5 width; entry target >= $1.25 credit; expected-move support ratio 0.71; quote width 5.1%; prior outcome sample n=0; flow/OI quality directional/supportive,"If this converts to Execute, attach OCO: entry Bear Call Credit Spread: sell GOOG 2026-09-18 365C / buy GOOG 2026-09-18 370C at >= $1.25 credit; if filled at the minimum $1.25 credit, set OCO take-profit BUY TO CLOSE near $0.62 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.","natural credit $0.85 is below expectancy-safe minimum $1.25; work the limit, do not accept less","NOT AN ORDER - target only; fresh Schwab quote, news, OI/flow, and re-score required before entry.","top-flow rank 25; net premium $-32,325,948; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction; historical edge=unavailable; probationary final-structure EV=$56.20, PF=2.28; thin_replay_sample:n=0;final_quality_guard;decision_final_quality_guard;price_action_trend;credit_ev_not_supported:unavailable; V4 Approved Work Limit: every non-price execution gate cleared, but the current Schwab reference does not meet the validated entry limit. natural credit $0.85 is below ex",🔵 APPROVED / Work Limit,Swing Target / Work Limit,Credit spreads,GOOG :: bear call credit spread :: 2026-09-18,,76%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PASS, family n=32, family PF=2.28, family holdout n=12, family holdout PF=1.45; one contract; High confidence unavailable",🟡 MEDIUM · 76% floor,$121.52,$-166.97,$51.65,2.28
33,Swing Target / Work Limit,GOOGL,Bear Call Credit Spread: sell GOOGL 2026-09-18 365C / buy GOOGL 2026-09-18 370C,2026-09-18,>= $1.25 credit,1.12 / 0.95,$62.50,$375.00,0.17,1 contract review; size only after fresh target fill and risk-cap check,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $2.50 or short strike is threatened,"Gap -1%: bearish thesis improves, but do not chase; enter only if >= $1.25 credit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Call; flow=directional; edge=unavailable; score=3.1; confirm=6.2,"top-flow rank 12; net premium $-23,882,978; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction","income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 85 days; Structured earnings/event date is known and outside 7 days (2026-11-04). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 20.2% of $5 width; entry target >= $1.25 credit; expected-move support ratio 0.64; quote width 4.5%; prior outcome sample n=0; flow/OI quality directional/supportive,"If this converts to Execute, attach OCO: entry Bear Call Credit Spread: sell GOOGL 2026-09-18 365C / buy GOOGL 2026-09-18 370C at >= $1.25 credit; if filled at the minimum $1.25 credit, set OCO take-profit BUY TO CLOSE near $0.62 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.","natural credit $0.95 is below expectancy-safe minimum $1.25; work the limit, do not accept less","NOT AN ORDER - target only; fresh Schwab quote, news, OI/flow, and re-score required before entry.","top-flow rank 12; net premium $-23,882,978; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction; historical edge=unavailable; probationary final-structure EV=$54.96, PF=2.28; thin_replay_sample:n=0;final_quality_guard;decision_final_quality_guard;price_action_trend;credit_ev_not_supported:unavailable; V4 Approved Work Limit: every non-price execution gate cleared, but the current Schwab reference does not meet the validated entry limit. natural credit $0.95 is below ex",🔵 APPROVED / Work Limit,Swing Target / Work Limit,Credit spreads,GOOGL :: bear call credit spread :: 2026-09-18,,76%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PASS, family n=32, family PF=2.28, family holdout n=12, family holdout PF=1.45; one contract; High confidence unavailable",🟡 MEDIUM · 76% floor,$121.52,$-166.97,$51.65,2.28
34,Swing Target / Work Limit,TSLA,Bear Call Credit Spread: sell TSLA 2026-09-18 355C / buy TSLA 2026-09-18 360C,2026-09-18,>= $1.25 credit,1.05 / 0.95,$62.50,$375.00,0.17,1 contract review; size only after fresh target fill and risk-cap check,3-15 trading days; reassess if thesis or volatility regime changes,Review/close if debit reaches about $2.50 or short strike is threatened,"Gap -1%: bearish thesis improves, but do not chase; enter only if >= $1.25 credit still holds with fresh OI/news confirmation. Gap +1%: thesis weakens; downgrade to Scout/Research unless resistance, flow, and quote width reconfirm.",Bear Call; flow=directional; edge=unavailable; score=3.1; confirm=6.2,"top-flow rank 2; net premium $-17,620,276; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction","income-friendly: trend=range, vol=low, flow=weak",mixed; earnings in 78 days; Structured earnings/event date is known and outside 7 days (2026-10-28). Earnings date carried from UW stock-screener next_earnings_dt.,target credit is 19.0% of $5 width; entry target >= $1.25 credit; expected-move support ratio 0.69; quote width 1.7%; prior outcome sample n=0; flow/OI quality directional/supportive,"If this converts to Execute, attach OCO: entry Bear Call Credit Spread: sell TSLA 2026-09-18 355C / buy TSLA 2026-09-18 360C at >= $1.25 credit; if filled at the minimum $1.25 credit, set OCO take-profit BUY TO CLOSE near $0.62 debit (50% captured); for a better fill, use 50% of the actual opening credit. No hard stop leg: maximum loss is already defined by the spread width, and replay showed every stop-carrying exit rule underperforming its stopless twin. Manage by thesis or roll if the short strike is breached.","natural credit $0.95 is below expectancy-safe minimum $1.25; work the limit, do not accept less","NOT AN ORDER - target only; fresh Schwab quote, news, OI/flow, and re-score required before entry.","top-flow rank 2; net premium $-17,620,276; flow bearish; OI supportive; exact-leg OI/side bias supports bearish direction; historical edge=unavailable; probationary final-structure EV=$55.78, PF=2.28; thin_replay_sample:n=0;final_quality_guard;decision_final_quality_guard;price_action_trend;credit_ev_not_supported:unavailable; V4 Approved Work Limit: every non-price execution gate cleared, but the current Schwab reference does not meet the validated entry limit. natural credit $0.95 is below exp",🔵 APPROVED / Work Limit,Swing Target / Work Limit,Credit spreads,TSLA :: bear call credit spread :: 2026-09-18,,76%,minimum of supportive/matched-OI pooled and direction-family 95% Wilson lower bounds,"strategy_family 83%, 90% lower bound 80%, n=148, PASS",unavailable exact-match edge; route evidence shown separately,"DIRECTIONAL CREDIT MEDIUM; execution-policy n=53; 95% Wilson floor=82%; 10% fill-stress PF=3.42; holdout n=15; holdout win=87%; holdout PF=1.83; family=PASS, family n=32, family PF=2.28, family holdout n=12, family holdout PF=1.45; one contract; High confidence unavailable",🟡 MEDIUM · 76% floor,$121.52,$-166.97,$51.65,2.28
